[INFO][2020-07-10T23:01:46.904][log.go:58] _com_mysql_success||traceid=c0a8bc9f5f0882da42b00e151900fbb0||spanid=9fa03e4525a1ffb5||source=/Users/tao/moduleGo/gin_scaffold/dao/service_tcp_rule.go:21||current_time=2020-07-10 23:01:46||sql=SELECT * FROM `gateway_service_tcp_rule`  WHERE (`gateway_service_tcp_rule`.`service_id` = '56')||cspanid=||level=sql||proc_time=0.000426s||affected_row=0
[INFO][2020-07-10T23:01:46.904][log.go:58] _com_mysql_success||level=sql||source=/Users/tao/moduleGo/gin_scaffold/dao/service_grpc_rule.go:23||traceid=c0a8bc9f5f0882dad0480e1589c820b0||spanid=9fa03e456a7cb5cf||current_time=2020-07-10 23:01:46||proc_time=0.000353s||sql=SELECT * FROM `gateway_service_grpc_rule`  WHERE (`gateway_service_grpc_rule`.`service_id` = '56')||affected_row=0||cspanid=
[INFO][2020-07-10T23:01:46.904][log.go:58] _com_mysql_success||cspanid=||source=/Users/tao/moduleGo/gin_scaffold/dao/service_access_control.go:27||current_time=2020-07-10 23:01:46||proc_time=0.000462s||affected_row=1||traceid=c0a8bc9f5f0882da50580e15cb626cb0||level=sql||sql=SELECT * FROM `gateway_service_access_control`  WHERE (`gateway_service_access_control`.`service_id` = '56')||spanid=9fa03e450b7fbfbc
[INFO][2020-07-10T23:01:46.904][log.go:58] _com_mysql_success||current_time=2020-07-10 23:01:46||proc_time=0.000409s||spanid=9fa03e4576fd839a||level=sql||sql=SELECT * FROM `gateway_service_load_balance`  WHERE (`gateway_service_load_balance`.`service_id` = '56')||affected_row=1||traceid=c0a8bc9f5f0882da57080e1570e7acb0||cspanid=||source=/Users/tao/moduleGo/gin_scaffold/dao/service_load_balance.go:33
[INFO][2020-07-10T23:01:46.904][log.go:58] _com_mysql_success||source=/Users/tao/moduleGo/gin_scaffold/dao/service_http_rule.go:27||current_time=2020-07-10 23:01:46||sql=SELECT * FROM `gateway_service_http_rule`  WHERE (`gateway_service_http_rule`.`service_id` = '57')||affected_row=0||cspanid=||level=sql||proc_time=0.000431s||traceid=c0a8bc9f5f0882daaa080e15b4a3c8b0||spanid=9fa03e4546baf447
[INFO][2020-07-10T23:01:46.904][log.go:58] _com_mysql_success||current_time=2020-07-10 23:01:46||sql=SELECT * FROM `gateway_service_tcp_rule`  WHERE (`gateway_service_tcp_rule`.`service_id` = '57')||affected_row=1||cspanid=||level=sql||source=/Users/tao/moduleGo/gin_scaffold/dao/service_tcp_rule.go:21||spanid=9fa03e450dbeaa0f||proc_time=0.000410s||traceid=c0a8bc9f5f0882da4f100e150aedf1b0
[INFO][2020-07-10T23:01:46.904][log.go:58] _com_mysql_success||level=sql||current_time=2020-07-10 23:01:46||sql=SELECT * FROM `gateway_service_grpc_rule`  WHERE (`gateway_service_grpc_rule`.`service_id` = '57')||cspanid=||spanid=9fa03e451852fe62||source=/Users/tao/moduleGo/gin_scaffold/dao/service_grpc_rule.go:23||proc_time=0.000387s||affected_row=0||traceid=c0a8bc9f5f0882daf8000e15b166a2b0
[INFO][2020-07-10T23:01:46.904][log.go:58] _com_mysql_success||cspanid=||spanid=9fa03e45429bd23a||level=sql||source=/Users/tao/moduleGo/gin_scaffold/dao/service_access_control.go:27||sql=SELECT * FROM `gateway_service_access_control`  WHERE (`gateway_service_access_control`.`service_id` = '57')||current_time=2020-07-10 23:01:46||proc_time=0.000478s||affected_row=1||traceid=c0a8bc9f5f0882daf8f80e1597d70ab0
[INFO][2020-07-10T23:01:46.904][log.go:58] _com_mysql_success||level=sql||source=/Users/tao/moduleGo/gin_scaffold/dao/service_load_balance.go:33||current_time=2020-07-10 23:01:46||proc_time=0.000483s||affected_row=1||traceid=c0a8bc9f5f0882da59800e15c09a3eb0||cspanid=||spanid=9fa03e452858bd10||sql=SELECT * FROM `gateway_service_load_balance`  WHERE (`gateway_service_load_balance`.`service_id` = '57')
[INFO][2020-07-10T23:01:46.904][log.go:58] _com_mysql_success||proc_time=0.000418s||affected_row=0||cspanid=||level=sql||source=/Users/tao/moduleGo/gin_scaffold/dao/service_http_rule.go:27||current_time=2020-07-10 23:01:46||sql=SELECT * FROM `gateway_service_http_rule`  WHERE (`gateway_service_http_rule`.`service_id` = '58')||traceid=c0a8bc9f5f0882dadd300e154b4e8eb0||spanid=9fa03e45450064ce
